sn,region,district,school_name,location,gender,residency,email,category,is_stem,latitude,longitude,youth_literacy_count,mpi_score,pov_norm,lit_norm,priority_score,priority_tier
555,UPPER EAST,NABDAM,KONGO SENIOR HIGH SCHOOL,KONGO,MIXED,DAY/BOARDING,kongoshs@ges.gov.gh,C,No,10.8524,-0.6751,9190.0,0.4,1.0,0.9099513152158116,0.9639805260863248,CRITICAL
516,SAVANNAH,NORTH GONJA,DABOYA COMM. DAY SCHOOL,DABOYA,MIXED,DAY,daboyacommshs@ges.gov.gh,C,No,9.35,-1.35,4955.0,0.3,0.7499999999999999,0.986884173811946,0.8447536695247784,CRITICAL
540,UPPER EAST,BUILSA NORTH,KANJAGA COMM. SENIOR HIGH SCHOOL,KANJAGA,MIXED,DAY,kanjagacommshs@ges.gov.gh,C,No,10.85,-0.35,5946.0,0.3,0.7499999999999999,0.968881703240808,0.8375526812963232,CRITICAL
541,UPPER EAST,BUILSA SOUTH,FUMBISI SENIOR HIGH SCHOOL,FUMBISI,MIXED,DAY/BOARDING,fumbisishs@ges.gov.gh,C,No,10.32,-0.72,5946.0,0.3,0.7499999999999999,0.968881703240808,0.8375526812963232,CRITICAL
526,UPPER EAST,BINDURI,BINDURI COMM. SENIOR HIGH SCHOOL,BINDURI,MIXED,DAY,binduricommshs@ges.gov.gh,C,No,10.965,-0.31,11089.0,0.3,0.7499999999999999,0.8754541491062345,0.8001816596424938,CRITICAL
480,NORTHERN,TOLON,KASULIYILI SENIOR HIGH SCHOOL,KASULIYILI,MIXED,DAY,kasuliyilishs@ges.gov.gh,C,No,9.3815355,-0.8511432,11883.0,0.3,0.7499999999999999,0.861030373492225,0.7944121493968899,HIGH
481,NORTHERN,TOLON,TOLON SENIOR HIGH SCHOOL,TOLON,MIXED,DAY/BOARDING,tolonshs@ges.gov.gh,C,No,9.4333,-1.1,11883.0,0.3,0.7499999999999999,0.861030373492225,0.7944121493968899,HIGH
579,UPPER WEST,SISALA EAST,KANTON SENIOR HIGH SCHOOL,TUMU,MIXED,DAY/BOARDING,kantonshs@ges.gov.gh,C,No,10.12,-1.95,11883.0,0.3,0.7499999999999999,0.861030373492225,0.7944121493968899,HIGH
511,SAVANNAH,CENTRAL GONJA,BUIPE SENIOR HIGH SCHOOL,BUIPE,MIXED,DAY/BOARDING,buipeshs@ges.gov.gh,C,No,8.75,-1.55,12321.0,0.3,0.7499999999999999,0.8530736811509955,0.7912294724603981,HIGH
512,SAVANNAH,CENTRAL GONJA,BUIPE TECH/VOC INST.,BUIPE,MIXED,DAY,buipetechvocinst@ges.gov.gh,C,No,8.75,-1.55,12321.0,0.3,0.7499999999999999,0.8530736811509955,0.7912294724603981,HIGH
