asdf_id,worldbank_geocodedresearchrelease_level1_v1_4_2.fa137b9.sum,v4composites_calibrated_201709.2009.count,v4composites_calibrated_201709.2009.mean,udel_precip_mean.2009.mean,ucdp_deaths_171.2009.sum,ltdr_avhrr_ndvi_v4_yearly.2009.mean,gpw_v4_density.2010.count,gpw_v4_density.2010.mean,gpw_v4_density.2010.max,gpw_v4_density.2010.min,esa_landcover_v207.2010.categorical_count,esa_landcover_v207.2010.categorical_mosaic_cropland,esa_landcover_v207.2010.categorical_rainfed_cropland,esa_landcover_v207.2010.categorical_shrubland,esa_landcover_v207.2010.categorical_urban,esa_landcover_v207.2010.categorical_water_bodies,esa_landcover_v207.2010.categorical_forest,esa_landcover_v207.2010.categorical_no_data,esa_landcover_v207.2010.categorical_bare_areas,esa_landcover_v207.2010.categorical_sparse_vegetation,esa_landcover_v207.2010.categorical_grassland,esa_landcover_v207.2010.categorical_wetland,esa_landcover_v207.2010.categorical_irrigated_cropland,esa_landcover_v207.2010.categorical_snow_ice,distance_to_coast_236.none.max,distance_to_coast_236.none.count,distance_to_coast_236.none.mean,distance_to_coast_236.none.min,dist_to_water.none.mean,dist_to_water.none.max,dist_to_water.none.min,dist_to_groads.none.mean,dist_to_groads.none.max,dist_to_groads.none.min,dist_to_gadm28_borders.none.mean,dist_to_gadm28_borders.none.max,dist_to_gadm28_borders.none.min,africa_child_mortality.2000.mean,acled_v3_count.none.sum,acled_v3_count.none.mean,acled_v3_count.none.count,access_50k.none.mean,access_50k.none.max,access_50k.none.min,NAME_2,NAME_0,NAME_1,VARNAME_2,TYPE_2,Shape_Area,ENGTYPE_2,Shape_Length,HASC_2,ID_2,CCA_2,ID_0,ID_1,ISO,CCN_2,NL_NAME_2
0,22770586.1831,730.290039062,3.38954137144,116.51190819990012,0.0,6292.35743305,730.300048828,248.381430643,331.483062744,85.3483657837,6495,343,4864,16,484,2,786,0,0,0,0,0,0,0,139194.003337,508.520019531,125058.541151,101353.624742,113878.482665,129060.656253,94561.4798014,2409.20745826,7984.9405273,0.0,123450.022199,137778.057545,99858.946644,25.7828884004607,0.289999991655,0.0655007300859,5.80000019073,142.452305118,499.0,0.0,Adansi North,Ghana,Ashanti,,District,0.050062,District,1.227048,,1,,87,1,GHA,,
1,41214020.6279,1668.33984375,0.0807521681597,118.58030231593297,0.0,6283.46142906,1668.33984375,96.1554564862,329.2003479,85.3483657837,14906,495,11681,2,82,0,2646,0,0,0,0,0,0,0,131914.930282,1160.57006836,105832.315263,79554.0688949,99889.9455693,122276.944819,79554.0688949,3378.30544856,11280.076827,0.0,104428.578161,130542.331945,78192.9005241,24.91577204067057,0.0,0.0,12.5399999619,200.971918574,505.0,72.0,Adansi South,Ghana,Ashanti,,District,0.115009,District,1.593533,,2,,87,1,GHA,,
2,17676130.6012,795.309936523,1.16633244845,114.23443965865089,0.0,6172.69854859,795.299987793,327.306220019,440.627655029,64.7862854004,7079,281,6662,1,95,0,40,0,0,0,0,0,0,0,228703.382531,553.359985352,207120.608838,190338.05201,94823.1650193,108976.30018,77312.0111623,5091.29120508,12896.3425613,0.0,156627.694627,174597.79384,143272.6283,20.215586243718104,2.05000004172,0.359097011576,6.21000003815,149.168712856,304.0,20.0,Afigya Sekyere,Ghana,Ashanti,Afigya Kwabre,District,0.054665,District,1.092964,GH.AH.AF,3,,87,1,GHA,,
3,14809241.8448,869.000061035,0.340125917599,108.17130414559105,0.0,6466.03319988,869.010009766,138.747687508,164.304336548,67.5409011841,7745,247,7128,31,43,0,296,0,0,0,0,0,0,0,235967.521825,604.58996582,218457.847428,195819.483102,136125.415419,151482.08807,120700.937995,2925.11941845,8659.43229538,0.0,90616.7566538,106185.133049,74908.6931525,12.49636250249602,0.0,0.0,6.69999980927,188.880034646,425.0,74.0,Ahafo Ano North,Ghana,Ashanti,,District,0.0597,District,1.254132,GH.AH.AN,4,,87,1,GHA,,
4,23534003.05,1433.61999512,0.0520467823676,112.49386889517177,0.0,6471.64515391,1433.61999512,103.176280367,191.693267822,55.1360321045,12775,936,9852,7,31,0,1949,0,0,0,0,0,0,0,236314.971263,997.120056152,214232.080759,193450.269262,132354.456181,155688.51399,111665.791462,2401.37604653,9886.06088655,0.0,116035.268219,138084.776095,98069.5422394,8.665572753111796,0.0,0.0,10.8699998856,168.301551734,542.0,38.0,Ahafo Ano South,Ghana,Ashanti,,District,0.098779,District,1.487726,GH.AH.AS,5,,87,1,GHA,,
5,46188803.8495,1401.65991211,1.35778093286,114.94416284759951,0.0,6290.37983084,1401.64990234,147.696209292,331.483062744,88.480178833,12493,252,10600,9,196,12,1424,0,0,0,0,0,0,0,161791.631138,974.840026855,136996.877869,114071.581001,122438.511731,143733.489865,97943.3038066,3390.19742844,11432.8634914,0.0,130257.018751,159913.337709,102089.937099,27.275880331391964,3.65000003576,0.349432047456,10.7000007629,179.580261609,605.0,41.0,Amansie Central,Ghana,Ashanti,,District,0.096501,District,1.579609,,6,,87,1,GHA,,
6,15831525.6642,888.619995117,0.350190080317,121.60607375243566,0.0,6207.09885878,873.489990234,134.803345358,331.483062744,85.3483657837,7914,347,6409,0,50,197,911,0,0,0,0,0,0,0,157095.383721,618.270019531,132728.755833,103129.105539,89266.7910434,104987.315663,76136.2859681,1777.14788557,6633.73424899,0.0,131390.409366,155691.681194,101828.071973,21.132177181053564,0.0,0.0,6.96999979019,129.63535341,364.0,47.0,Amansie East,Ghana,Ashanti,,District,0.060975,District,1.351373,GH.AH.AM,7,,87,1,GHA,,
7,31690143.7429,1504.67993164,0.0645623404924,117.60108160029316,0.0,6302.86924282,1504.68994141,112.915694908,331.483062744,69.2916030884,13423,317,11504,6,145,0,1451,0,0,0,0,0,0,0,179309.988148,1046.7800293,156162.297973,126527.009782,135871.081188,153628.122353,109042.443522,2461.40100078,8920.67766866,0.0,129559.544232,159777.404924,100788.586311,21.596861655276495,0.469999995083,0.055420646274,11.3699989319,165.516593998,423.0,40.0,Amansie West,Ghana,Ashanti,,District,0.10361,District,1.682476,GH.AH.AI,8,,87,1,GHA,,
8,28004536.1146,1683.29003906,0.508630282828,118.27659573869896,0.0,5978.97366451,1682.33007812,93.8981440187,279.026428223,22.1957550049,15034,2011,9924,1800,146,5,1148,0,0,0,0,0,0,0,186509.326722,1170.7800293,163816.131845,143413.78957,37610.193644,72315.0565715,4416.09409039,3499.01349938,14103.4028145,0.0,158455.51508,175353.831878,140475.171746,17.171771228735363,1.0,0.0782417427292,12.779999733,176.648986765,629.0,41.0,Asante Akim North,Ghana,Ashanti,,District,0.115966,District,1.706308,GH.AH.AR,9,,87,1,GHA,,
9,23987568.2899,1277.13000488,0.131478991815,120.65595043192249,0.0,6481.71002661,1277.13000488,101.667575105,207.638824463,86.0050354004,11385,1195,8850,4,71,0,1265,0,0,0,0,0,0,0,155947.128815,888.519958496,137671.728234,112272.480821,56834.5778966,85439.0370552,28360.4699961,2258.52406901,14103.4028145,0.0,136181.151666,154423.503167,110780.688537,19.12873672749791,0.0,0.0,9.73999977112,126.309622981,543.0,22.0,Asante Akim South,Ghana,Ashanti,,District,0.087908,District,1.461697,GH.AH.AU,10,,87,1,GHA,,
