SN,Region,District,School_Name,Location,Gender,Residency,Email,Category,Is_STEM,latitude,longitude,youth_literacy_count,mpi_score
1,AHAFO,ASUNAFO NORTH MUNICIPAL,MIM SENIOR HIGH SCHOOL,MIM,MIXED,DAY/BOARDING,mimshs@ges.gov.gh,C,No,9.4273607,-0.8767444,15955.608695652174,0.1
2,AHAFO,ASUNAFO NORTH MUNICIPAL,AHAFOMAN SENIOR HIGH/TECH SCHOOL,GOASO,MIXED,DAY/BOARDING,ahafomanshst@ges.gov.gh,C,No,7.142572,-1.6406402,15955.608695652174,0.1
3,AHAFO,ASUNAFO SOUTH,KUKUOM AGRIC SENIOR HIGH SCHOOL,KUKUOM,MIXED,DAY/BOARDING,kukuomagricshs@ges.gov.gh,C,No,5.9668857,-0.9929572,16292.0,0.1
4,AHAFO,ASUNAFO SOUTH,SANKORE SENIOR HIGH SCHOOL,SANKORE,MIXED,DAY/BOARDING,sankoreshs@ges.gov.gh,C,No,5.9926294,0.8187733,16292.0,0.1
5,AHAFO,ASUTIFI NORTH,GYAMFI KUMANINI SENIOR HIGH/TECH SCHOOL,WAMAHINSO,MIXED,DAY/BOARDING,gyamfikumaninishst@ges.gov.gh,C,No,7.142572,-1.6406402,12975.0,0.1
6,AHAFO,ASUTIFI NORTH,"OLA GIRLS SENIOR HIGH SCHOOL, KENYASI",KENYASI,FEMALE,DAY/BOARDING,olagirlsshs@ges.gov.gh,A,No,7.190168,0.337969,12975.0,0.1
7,AHAFO,ASUTIFI SOUTH,ACHERENSUA SENIOR HIGH SCHOOL,ACHERENSUA,MIXED,DAY/BOARDING,acherensuashs@ges.gov.gh,C,No,5.8771706,0.3662603,11818.0,0.1
8,AHAFO,ASUTIFI SOUTH,HWIDIEM SENIOR HIGH SCHOOL,HWIDIEM,MIXED,DAY/BOARDING,hwidiemshs@ges.gov.gh,C,No,5.7065864,-0.1702485,11818.0,0.1
9,AHAFO,TANO NORTH,TERCHIRE SENIOR HIGH SCHOOL,TERCHIRE,MIXED,DAY,terchireshs@ges.gov.gh,C,No,7.2316721,-2.1751937,15955.608695652174,0.1
10,AHAFO,TANO NORTH,YAMFO ANGLICAN SENIOR HIGH SCHOOL,YAMFO,MIXED,DAY/BOARDING,yamfoanglicanshs@ges.gov.gh,C,No,6.4542149,-1.5701117,15955.608695652174,0.1
11,AHAFO,TANO NORTH,SERWAA KESSE GIRLS SENIOR HIGH SCHOOL,DUAYAW NKWANTA,FEMALE,DAY/BOARDING,serwaakessegirlsshs@ges.gov.gh,C,No,6.319177,-2.250302,15955.608695652174,0.1
12,AHAFO,TANO NORTH,BOAKYE TROMO SENIOR HIGH/TECH SCHOOL,DUAYAW NKWANTA,MIXED,DAY/BOARDING,boakyetromoshst@ges.gov.gh,C,No,7.190168,0.337969,15955.608695652174,0.1
13,AHAFO,TANO NORTH,BOMAA COMM. SENIOR HIGH SCHOOL,BOMAA,MIXED,DAY/BOARDING,bomaacommshs@ges.gov.gh,C,No,7.993766,-0.326021,15955.608695652174,0.1
14,AHAFO,TANO SOUTH,DERMA COMM. DAY SENIOR HIGH SCHOOL,DERMA,MIXED,DAY,dermacommshs@ges.gov.gh,C,No,5.9668857,-0.9929572,15955.608695652174,0.1
15,AHAFO,TANO SOUTH,SAMUEL OTU PRESBY SENIOR HIGH SCHOOL,TECHIMANTIA,MIXED,DAY/BOARDING,samuelotupresbyshs@ges.gov.gh,C,No,9.3953646,-0.8216087,15955.608695652174,0.1
16,AHAFO,TANO SOUTH,BECHEM PRESBY SENIOR HIGH SCHOOL,BECHEM,MIXED,DAY/BOARDING,bechempresbyshs@ges.gov.gh,C,No,7.2316721,-2.1751937,15955.608695652174,0.1
17,ASHANTI,ADANSI NORTH,FOMENA T.I. AHMAD SENIOR HIGH SCHOOL,FOMENA,MIXED,DAY/BOARDING,t.i.ahmadiyyafomenashs@ges.gov.gh,C,No,5.5009936,-0.7618399,11775.0,0.1
18,ASHANTI,ADANSI NORTH,ASARE BEDIAKO SENIOR HIGH SCHOOL,AKROKERRI,MIXED,DAY/BOARDING,asarebediakoshs@ges.gov.gh,C,No,5.8771706,0.3662603,11775.0,0.1
19,ASHANTI,ADANSI NORTH,DOMPOASE SENIOR HIGH SCHOOL,DOMPOASE,MIXED,DAY/BOARDING,dompoaseshs@ges.gov.gh,C,No,6.8901817,-1.2489599,11775.0,0.1
20,ASHANTI,ADANSI NORTH,BODWESANGO SENIOR HIGH SCHOOL,BODWESANGO,MIXED,DAY/BOARDING,bodwesangoshs@ges.gov.gh,C,No,5.9668857,-0.9929572,11775.0,0.1
