sn,region,district,school_name,location,gender,residency,email,category,is_stem,latitude,longitude,youth_literacy_count,mpi_score,elec_norm,water_norm,sanitation_norm,aid_norm,pov_norm,lit_norm,priority_score,priority_tier
516,SAVANNAH,NORTH GONJA,DABOYA COMM. DAY SCHOOL,DABOYA,MIXED,DAY,daboyacommshs@ges.gov.gh,C,No,7.2045812,-2.591577,4955.0,0.3,0.23062165385661015,0.22607720922621044,0.06584576387046477,0.12015810733498497,0.7499999999999999,0.9868841738119459,0.8334711846067507,CRITICAL
555,UPPER EAST,NABDAM,KONGO SENIOR HIGH SCHOOL,KONGO,MIXED,DAY/BOARDING,kongoshs@ges.gov.gh,C,No,6.6903393,-1.5480316,9190.0,0.4,0.0,0.9745529405514182,0.11888571713094374,0.12015810733498497,1.0,0.9099513152158116,0.8193781443020245,CRITICAL
511,SAVANNAH,CENTRAL GONJA,BUIPE SENIOR HIGH SCHOOL,BUIPE,MIXED,DAY/BOARDING,buipeshs@ges.gov.gh,C,No,7.3366184,-2.304839,12321.0,0.3,0.23062165385661015,0.22607720922621044,0.06584576387046477,0.7756836227847863,0.7499999999999999,0.8530736811509955,0.7803527959780191,HIGH
512,SAVANNAH,CENTRAL GONJA,BUIPE TECH/VOC INST.,BUIPE,MIXED,DAY,buipetechvocinst@ges.gov.gh,C,No,,,12321.0,0.3,0.23062165385661015,0.22607720922621044,0.06584576387046477,0.7756836227847863,0.7499999999999999,0.8530736811509955,0.7803527959780191,HIGH
446,NORTH EAST,EAST MAMPRUSI,NALERIGU SENIOR HIGH SCHOOL,NALERIGU,MIXED,DAY/BOARDING,nalerigushs@ges.gov.gh,C,No,10.5309756,-0.3728539,22263.0,0.3,0.24234458021420083,0.17632342030948145,0.0,0.10931996032703346,0.7499999999999999,0.672467664583636,0.7649198882468357,HIGH
448,NORTH EAST,MAMPRUGU MOADURI,YAGABA SENIOR HIGH SCHOOL,YAGABA,MIXED,DAY/BOARDING,yagabashs@ges.gov.gh,C,No,10.6593164,-1.268658,5861.0,0.2,0.24234458021420083,0.17632342030948145,0.0,0.12015810733498497,0.5,0.9704258102020056,0.7640842802411895,HIGH
540,UPPER EAST,BUILSA NORTH,KANJAGA COMM. SENIOR HIGH SCHOOL,KANJAGA,MIXED,DAY,kanjagacommshs@ges.gov.gh,C,No,7.993766,-0.326021,5946.0,0.3,0.0,0.9745529405514182,0.11888571713094374,0.12015810733498497,0.7499999999999999,0.968881703240808,0.7591107413082736,HIGH
541,UPPER EAST,BUILSA SOUTH,FUMBISI SENIOR HIGH SCHOOL,FUMBISI,MIXED,DAY/BOARDING,fumbisishs@ges.gov.gh,C,No,9.3815355,-0.8511432,5946.0,0.3,0.0,0.9745529405514182,0.11888571713094374,0.12015810733498497,0.7499999999999999,0.968881703240808,0.7591107413082736,HIGH
444,NORTH EAST,CHEREPONI,CHEREPONI SENIOR HIGH/TECH SCHOOL,CHEREPONI,MIXED,DAY/BOARDING,chereponishst@ges.gov.gh,C,No,5.5950893,-0.277005,9078.0,0.2,0.24234458021420083,0.17632342030948145,0.0,0.12015810733498497,0.5,0.9119859032117424,0.7494743034936237,HIGH
447,NORTH EAST,EAST MAMPRUSI,SAKOGU SENIOR HIGH/TECH SCHOOL,SAKOGU,MIXED,DAY,sakogushst@ges.gov.gh,C,No,10.0272463,-0.9731496,13444.8,0.22,0.24234458021420083,0.17632342030948145,0.0,0.10931996032703346,0.5499999999999999,0.8326587705275397,0.7449676647328115,HIGH
