DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2000,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,All_Population_Count_2020,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,Aridity_2020,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Day_Land_Surface_Temp_2020,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Diurnal_Temperature_Range_2020,Drought_Episodes,Elevation,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Enhanced_Vegetation_Index_2020,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Frost_Days_2020,Global_Human_Footprint,Growing_Season_Length,Irrigation,ITN_Coverage_2000,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,ITN_Coverage_2020,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Land_Surface_Temperature_2020,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Incidence_2020,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Malaria_Prevalence_2020,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Maximum_Temperature_2020,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Mean_Temperature_2020,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Minimum_Temperature_2020,Nightlights_Composite,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,Night_Land_Surface_Temp_2020,PET_2000,PET_2005,PET_2010,PET_2015,PET_2020,Precipitation_2000,Precipitation_2005,Precipitation_2010,Precipitation_2015,Precipitation_2020,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Rainfall_2020,Temperature_January,Temperature_February,Temperature_March,Temperature_April,Temperature_May,Temperature_June,Temperature_July,Temperature_August,Temperature_September,Temperature_October,Temperature_November,Temperature_December,Travel_Times,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,U5_Population_2020,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Count_2020,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,UN_Population_Density_2020,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015,Wet_Days_2020
GH202200000001,GHGE8AFL,GH,2022,1,GH2022DHS,506.8187561,575.8624268,654.697876,737.9469604,745.7667236,35.40995407,39.12776566,51.46344757,33.35115051,40.10938263,26.60466576,26.7219429,26.83986092,27.02319336,27.04624367,8.072989464,7.348148346,7.419546127,7.982928753,7.806886673,NA,35.16923523,0.420100003,0.410352051,0.453916848,0.435122937,0.475403041,0,0,0,0,0,37.27380753,12,0,0.066817977,0.046938013,0.129848987,0.389075577,0.605476201,23.2550602,23.67298508,23.84451294,24.13659668,24.40228844,3.971350908,33.13124847,426.131897,33.61201477,543.6221313,0.50554502,0.509492576,0.354867667,0.195465788,0.275803417,0.764134228,0.796400487,0.367903084,0.153641015,0.282096475,31.16624832,31.00270653,31.48451996,31.44010353,31.43844032,27.09911728,27.30555534,27.75451469,27.415308,27.51992226,23.0932579,23.65455818,24.06497574,23.45717621,23.63155365,0.356155902,19.90545464,20.62402725,20.84916687,21.25,21.75833321,3.149869919,3.019169569,3.067534685,3.20678544,3.139424324,111.5367508,118.1333618,157.8658905,106.9499893,125.920372,1680.8396,1760.505371,2159.589355,1580.753052,906.0891113,26.92479134,27.78100777,27.91236877,27.81103706,27.29685211,26.16755486,25.45474243,24.72667313,25.40564156,26.12498665,26.99443626,27.19707298,107.24263,514.7544556,642.4720459,600.1083374,564.7411499,646.909668,1047.570557,1214.478027,1399.126709,1587.195313,1767.354492,77.62194061,89.98930359,103.6712341,117.6065674,130.9558411,12.79997921,13.23458004,16.68176079,12.70623207,13.85085487
GH202200000002,GHGE8AFL,GH,2022,2,GH2022DHS,55.15237427,60.91481018,67.92223358,76.5864563,83.37854767,36.32899857,38.95328522,51.34930801,33.87051773,41.02020645,27.36358452,25.81287193,26.82948685,27.45533943,27.39578056,8.326952934,7.631293297,7.725101471,8.220269203,8.090741158,NA,35.78222275,0.499935806,0.468751818,0.498516709,0.47495541,0.493856072,0,0,0,0,0,31.64496231,12,0,0.073269859,0.021726405,0.107977249,0.583756089,0.480064392,23.42369843,23.03495407,23.77379227,23.92028046,24.43758774,0.040858563,71.82339478,0.332185179,1.749088287,1.145078659,0.538258016,0.538733602,0.518590868,0.357859999,0.375473917,0.840527713,0.858220875,0.581752181,0.341891855,0.385604233,31.32238197,31.18339157,31.65694427,31.59646988,31.63832474,27.13161278,27.34486389,27.77939796,27.45195389,27.57154274,22.99542809,23.55209923,23.93184471,23.37620163,23.54758453,0.033783283,19.48381424,20.25703621,20.7181015,20.38521957,21.47939301,3.134403944,3.028805017,3.072497129,3.19169569,3.125303745,113.869751,117.9819031,157.7705994,108.1043854,128.2006073,1466.096802,1634.186401,1871.388672,1406.094604,1666.182495,26.99947739,27.87710762,28.07773018,28.06791115,27.58338547,26.35900879,25.56852722,24.90189743,25.68518639,26.40265083,27.14679718,27.13752365,203.4794922,170.6680145,228.8927155,234.2571716,275.1993103,269.8531799,1083.59314,1254.95813,1460.43811,1709.952637,1986.589722,50.58774948,58.58795547,68.18082428,79.82946014,92.7443161,13.47430134,13.90743732,17.34436607,13.36934566,14.52141857
GH202200000003,GHGE8AFL,GH,2022,3,GH2022DHS,278.3358459,316.253418,359.5484314,405.267395,409.7844238,34.14541245,37.57274628,49.52099609,32.75374603,39.33995819,27.01087189,26.87812614,26.66889,27.67329979,28.00905991,7.975738049,7.239583492,7.294921875,7.889757156,7.701215267,NA,12.94965363,0.437842637,0.422510266,0.44310692,0.448542178,0.460123688,0,0,0,0,0,41.99893951,12,0,0.072578847,0.04790055,0.149537012,0.281796634,0.566675842,23.44975281,23.74173546,23.92810822,24.43784332,24.95588684,1.805305839,141.6797485,79.41394806,7.304897308,96.60636139,0.504547894,0.496967405,0.355898231,0.238751456,0.289786458,0.723781347,0.69952184,0.367837012,0.207540154,0.299154967,31.06280518,30.87287331,31.33932304,31.32586861,31.32348061,27.05099869,27.22222328,27.66770935,27.35529518,27.45056534,23.08706665,23.63328934,24.04440117,23.43611145,23.62226677,1.081129193,19.88863564,20.60534668,21.18732643,21.20238686,21.90271187,3.144227505,3.045529604,3.069965363,3.177821159,3.097959995,107.360939,114.4289017,152.0277405,104.0855484,121.8736115,1640.769165,1866.375488,2154.997803,1462.786621,1763.831299,26.9426899,27.79039001,27.68888092,27.80473137,27.11757278,26.14804649,25.49749756,24.66142464,25.19378281,25.94784737,26.90193939,27.38749313,44.01810074,655.2567139,630.1259155,599.0120239,514.7159424,546.0953979,998.9086914,1016.281311,1027.455566,1022.864563,999.5238037,76.20925903,77.53466034,78.38716888,78.03691101,76.25618744,12.7135849,13.0941925,16.45394516,12.5873785,13.74765205
GH202200000004,GHGE8AFL,GH,2022,4,GH2022DHS,171.3037262,194.6403503,221.2865753,249.4246216,221.8557587,34.62414551,37.67946243,49.70684814,32.97517395,39.64909363,26.53036118,26.27482605,26.48284721,27.09618759,27.33853722,8.049695969,7.317361355,7.382074833,7.957812786,7.781771183,NA,30.54004097,0.453985989,0.429288924,0.436812013,0.436091661,0.478055358,0,0,0,0,0,34.84497833,12,0,0.07633511,0.049451668,0.153192446,0.348983645,0.617919683,22.84093857,23.21524239,23.57616425,23.97362328,24.31167984,0.161330312,45.0124054,2.501535892,2.178804398,5.51536274,0.5054304,0.504087567,0.35238713,0.220451415,0.277361006,0.741831779,0.738566399,0.362471819,0.183194712,0.280540913,31.13606834,30.95308304,31.42335129,31.40364647,31.40299606,27.08676338,27.26666641,27.71076393,27.39626694,27.49257851,23.08637238,23.63572121,24.04127693,23.44583321,23.62122345,0.437124193,19.15151596,20.15566063,20.66947937,20.85106087,21.28482056,3.14804697,3.054210186,3.079687595,3.185112953,3.108029604,108.998436,115.080986,153.0815582,105.0296478,123.2305603,1489.4552,1674.310059,2012.458008,1436.521484,1689.656616,26.98278999,27.82603073,27.80006599,27.8506813,27.21738243,26.14860535,25.46995735,24.68632698,25.27616501,26.02641678,26.95624352,27.32152176,68.58789063,738.6384277,1192.65625,951.7213135,906.09729,833.7773438,1633.270142,1661.675293,1679.945801,1672.439209,1634.275879,76.20925903,77.53466034,78.38716888,78.03691101,76.25618744,13.0276823,13.42120647,16.82356262,12.89654541,14.06747818
GH202200000005,GHGE8AFL,GH,2022,5,GH2022DHS,95.12850952,108.087822,122.885025,138.5106506,140.0354004,33.68232727,36.93138123,48.48441696,32.40958405,39.00646591,26.46193314,26.27697945,26.34654236,26.95534515,26.94572449,7.934895992,7.197265625,7.246875286,7.86354208,7.665104389,NA,18.21777725,0.436859071,0.440955222,0.442839056,0.432797402,0.456845075,0,0,0,0,0,41.63035202,12,0,0.071354955,0.047162507,0.162096471,0.302044004,0.562508523,22.84931755,23.32067871,23.47004128,23.70866203,24.15447617,0.224071294,27.15673065,2.937395811,2.34519434,6.586365223,0.507050872,0.493038982,0.391875803,0.263847589,0.31912598,0.735951662,0.694231033,0.423483908,0.243066192,0.345319867,31.02656364,30.83007813,31.29192734,31.29739761,31.29427147,27.03776169,27.20000076,27.64375114,27.34114647,27.4375,23.09166718,23.6328125,24.04505348,23.43385506,23.62916756,0.012379938,19.23670387,20.36437607,20.5935421,20.46197891,21.36322975,3.137630224,3.055078268,3.079036474,3.168880224,3.082161427,105.6826859,112.8282547,149.2852936,102.7020874,120.2242203,1432.940552,1636.876343,1985.190186,1366.626587,1466.444336,26.78341293,27.633564,27.45378685,27.64179993,26.96654701,26.01657867,25.329319,24.48893166,24.95227432,25.75449371,26.73925018,27.28278351,49.82714844,200.1306763,201.49263,194.5727844,175.5487671,143.1582642,1262.670532,1284.630371,1298.755249,1292.951904,1263.44812,58.9094162,59.9339447,60.59293747,60.32218552,58.94569778,12.72893238,13.11131477,16.42367172,12.60042953,13.76501274
GH202200000006,GHGE8AFL,GH,2022,6,GH2022DHS,134.6154785,152.9540863,173.8934784,196.0051575,234.9274902,32.79041672,36.77518082,47.20831299,31.64770126,38.34645081,27.22226143,27.14875031,26.36781311,26.39852333,26.95957947,7.7421875,7.010026455,7.038541794,7.780208588,7.497395992,NA,23.96672058,0.434482962,0.446361482,0.470415622,0.476312995,0.452201545,0,0,0,0,0,36.05109024,12,0.380884051,0.066563055,0.041799545,0.162190855,0.281229347,0.443697393,23.59686852,23.77166557,23.71822929,23.62630653,24.18692398,0.395278901,52.91109467,9.429071426,109.5052338,11.06964302,0.475805134,0.426660955,0.325228333,0.250661016,0.269482315,0.620235443,0.52114743,0.325019628,0.224746525,0.273259848,30.86927223,30.67096329,31.13099098,31.20052147,31.1640625,26.97682381,27.13750076,27.58541679,27.28593636,27.39166641,23.12708473,23.66093826,24.09244728,23.42031288,23.66666603,0.223579884,19.97147751,20.39458466,21.06864548,20.85409164,21.41426659,3.117578268,3.052213669,3.111588478,3.169661522,3.066797018,102.2266922,112.2457047,146.8928528,100.3125,117.6007843,996.5019531,1271.314819,1395.380981,1142.440308,1021.93811,26.42638588,27.36316109,27.13623619,27.20517921,26.56910706,25.63365364,24.78428841,24.00308228,24.59430122,25.46434212,26.57219696,26.87991333,27.23177147,1157.945801,1078.603149,836.1588135,794.3618774,659.6795654,2797.371582,2951.268066,3094.055664,3194.137207,3236.673828,175.6828461,185.3479767,194.3154449,200.6008453,203.2722778,12.10335922,12.54649639,15.74028587,12.01717472,13.17342377
GH202200000007,GHGE8AFL,GH,2022,7,GH2022DHS,51.3886795,58.38933563,66.38282013,74.82382965,93.90753937,32.89814377,36.90808487,47.5320282,31.76730537,38.44257736,26.83700752,26.78659821,25.93559074,26.27958298,26.68330002,7.757118225,7.023828506,7.053819656,7.779514313,7.506771088,NA,21.36718941,0.455507219,0.4745875,0.492939591,0.487290442,0.501364112,0,0,0,0,0,32.81990433,12,0.250635922,0.069737613,0.044779625,0.171250463,0.315550148,0.492492944,23.43562508,23.65522575,23.52387238,23.58154488,24.12933922,0.265305609,63.48745346,4.175620556,6.139885426,8.72228241,0.486714035,0.440727711,0.346608102,0.263112247,0.282741547,0.652177334,0.554532707,0.356351048,0.242723912,0.292817682,30.8800354,30.68164063,31.14158058,31.20086861,31.16927147,26.97977448,27.14027786,27.5881958,27.28697968,27.39166641,23.12291718,23.65781212,24.08776093,23.4213562,23.66250038,0.095927037,20.03424263,20.52385521,21.1121521,20.88350677,21.57537842,3.120095491,3.047612906,3.102821112,3.169401169,3.069140673,102.6453552,112.4815598,147.4833832,100.6833344,117.9856796,1029.856934,1310.922729,1490.568726,1188.023926,1113.597168,26.38176537,27.27352715,27.03667259,27.13174248,26.47146225,25.54097176,24.70493507,23.92775345,24.49123573,25.37135506,26.47046661,26.83724976,31.86432266,480.0174255,431.8519287,598.8557129,377.3953552,315.605011,3766.30542,3973.507324,4165.752441,4300.499512,4357.769531,175.6828613,185.3479767,194.3154297,200.6008453,203.2722473,12.11014748,12.54310226,15.74946976,12.02110672,13.17443943
GH202200000008,GHGE8AFL,GH,2022,8,GH2022DHS,228.5058899,259.6351624,295.1791382,332.7131042,311.9510193,32.78278351,36.51279068,46.92894745,31.57191658,38.26023102,27.13969612,27.33611107,26.8486805,26.84853554,27.18009949,7.769618034,7.036849022,7.069097519,7.792708874,7.524826527,NA,25.438097,0.454089403,0.460603654,0.492709875,0.480656922,0.482481986,0,0,0,0,0,37.95890808,12,1.142652154,0.071819767,0.044705898,0.174623847,0.308020592,0.473242015,23.4234848,23.79533005,23.85362816,23.74392128,24.25376511,0.301389962,66.55713654,4.608378887,2.816209316,10.25085449,0.485735446,0.437329501,0.343476832,0.266570091,0.28961879,0.653000712,0.547527492,0.351798415,0.247420833,0.303579867,30.89045334,30.69327354,31.15442848,31.21684074,31.18732643,26.98498344,27.14722252,27.59375,27.29531288,27.40139008,23.12083435,23.65642357,24.08533096,23.4241333,23.66250038,0.185357094,19.70727158,20.25454903,20.85857582,20.63930511,21.32743073,3.117491245,3.055772543,3.111675262,3.168185711,3.066189289,102.2000427,111.5747833,146.0276642,100.0256958,117.3131104,1020.23175,1335.439941,1470.59021,1152.710205,1078.656128,26.45242691,27.39215851,27.19294739,27.2529335,26.6438694,25.67797852,24.85402489,24.06823349,24.679039,25.51652908,26.59051704,26.89060593,19.8515625,893.0300903,872.961731,850.6202393,730.8085327,627.1708984,3766.073486,3973.262939,4165.496094,4300.234863,4357.501465,175.6828461,185.3479919,194.3154449,200.6008453,203.2722626,12.26226521,12.70568943,15.90297699,12.17216587,13.32869339
GH202200000009,GHGE8AFL,GH,2022,9,GH2022DHS,181.9720001,206.7619629,235.067627,264.9580078,326.3722534,32.9132576,36.39953995,46.99015045,31.6459465,38.30856323,27.07688332,27.16931725,27.10244942,27.04245377,27.44113922,7.814294338,7.080136299,7.117708683,7.810070038,7.564872742,NA,54.01464462,0.478624701,0.467042834,0.50338465,0.469632924,0.506089747,0,0,0,0,0,36.85382462,12,1.81831944,0.069719024,0.044710286,0.17129229,0.297626585,0.474972308,23.18608665,23.53171921,23.73083687,23.721735,24.36309433,0.210691482,76.70983124,3.476206541,3.06683898,8.761766434,0.461339444,0.403388143,0.288828999,0.223263308,0.246246308,0.593533993,0.476353556,0.272858739,0.187024102,0.240554616,30.9256382,30.72938347,31.19146538,31.23859978,31.21903992,26.99817848,27.16157341,27.60671425,27.30804443,27.41296387,23.11134338,23.64924812,24.07375526,23.42853165,23.65416718,0.531342745,19.29528999,19.89412117,20.35922432,20.40102005,21.28504944,3.120500565,3.056930065,3.105193853,3.167028427,3.068272591,102.7058334,111.2708511,145.9135284,100.2236099,117.5411148,1111.595215,1403.011475,1618.430054,1180.460938,1166.006836,26.44032669,27.34399986,27.17458725,27.25428009,26.65705681,25.66125488,24.87306023,24.08766556,24.69264984,25.50119019,26.51140976,26.8582592,17.09863281,986.7667847,1170.134399,850.1322021,925.4039917,941.7391357,3571.819824,3765.754883,3945.30957,4070.254395,4121.803711,166.631485,175.6788788,184.0554199,189.8843079,192.2891693,12.43997383,12.87344456,16.09043121,12.34160995,13.49827671
GH202200000010,GHGE8AFL,GH,2022,10,GH2022DHS,1082.181641,1229.606689,1397.939575,1575.696655,1601.290161,32.15098572,35.36481094,44.98543167,30.75923157,37.46941757,30.76655388,29.53343773,29.55475807,29.58730698,31.34303474,7.75086832,7.019314766,7.05243063,7.787153244,7.522743225,NA,23.63476753,0.356319338,0.344574839,0.343590587,0.311465979,0.285179496,0,0,0,0,0,75.86553192,12,2.370998144,0.071291916,0.040560655,0.161954179,0.251284063,0.352660686,25.61395836,25.42328072,25.36626816,25.58174515,26.90002441,0.166052416,66.27193451,3.560063839,1.422689199,4.845229626,0.412635088,0.340498596,0.251791954,0.213338852,0.218458742,0.485855073,0.350817025,0.221328974,0.172877759,0.201312974,30.87031364,30.67643356,31.14088631,31.21753502,31.19357681,26.97699738,27.14444542,27.5881958,27.29600716,27.40972328,23.1194458,23.65711784,24.0884552,23.43038368,23.67083359,6.770467758,20.46136284,21.31312561,21.17777634,21.57618141,22.45701599,3.103775978,3.068099022,3.133723974,3.162803888,3.053515673,99.7894516,108.502739,140.9719238,97.28541565,114.4134521,954.7267456,1212.413086,1430.038696,987.500061,924.5532837,26.635849,27.65375137,27.5305748,27.50927353,26.99273109,25.93576813,25.1387043,24.39490318,25.01387024,25.81219482,26.89068413,26.97765923,1.035435319,8072.244141,11441.24902,14803.41504,17005.25977,19664.03906,33094.89063,43561.25,56977.14453,73384.94531,92775.48438,1544.029663,2032.33374,2658.247314,3423.74707,4328.405273,12.48084164,12.96591568,16.09815025,12.40329361,13.55537701
