District_Name,Total_Pop_6yrs_Plus,Literate_Count,Not_Literate_Count,Literacy_Rate_Pct
Ablekuma Central Municipal,,129346,,
Ablekuma North Municipal,,129296,,
Ablekuma West Municipal,,122187,,
Abuakwa North Municipal,,55567,,
Abuakwa South Municipal,,60277,,
Abura Asebu Kwamankese,,72877,,
Achiase,,33728,,
Ada East,,42506,,
Ada West,,37492,,
Adaklu,,22062,,
Adansi Asokwa,,41122,,
Adansi North,,36887,,
Adansi South,,49515,,
Adentan Municipal,,215003,,
Afadzato South,,49103,,
Afigya Kwabre North,,43644,,
Afigya Kwabre South,,166469,,
Agona East,,62731,,
Agona West Municipal,,91939,,
Agortime-Ziope,,22356,,
Ahafo Ano North Municipal,,55131,,
Ahafo Ano South East,,32618,,
Ahafo Ano South West,,34831,,
Ahanta West Municipal,,92654,,
Ajumako Enyan Essiam,,73377,,
Akatsi North,,16521,,
Akatsi South Municipal,,52651,,
Akrofuom,,27196,,
Akwapim North Municipal,,77412,,
Akwapim South Municipal,,55750,,
Akyemansa,,52641,,
Amansie Central,,52317,,
Amansie South,,61935,,
Amansie West,,64515,,
Anloga,,53554,,
Aowin Municipal,,61771,,
Asante Akim Central Municipal,,63026,,
Asante Akim North Municipal,,52552,,
Asante Akim South Municipal,,73412,,
Asene Manso Akroso,,47612,,
Ashaiman Municipal,,157344,,
Asikuma Odoben Brakwa,,75982,,
Asokore Mampong Municipal,,128242,,
Asokwa Municipal,,95895,,
Assin Fosu Municipal,,62275,,
Assin North,,46488,,
Assin South,,62433,,
Asunafo North Municipal,,88972,,
Asunafo South,,51319,,
Asuogyaman,,69740,,
Asutifi North,,43954,,
Asutifi South,,37157,,
Atebubu Amantin Municipal,,59545,,
Atiwa East,,42010,,
Atiwa West,,39659,,
Atwima Kwanwoma,,167872,,
Atwima Mponua,,85115,,
Atwima Nwabiagya North,,107501,,
Atwima Nwabiagya South Municipal,,116120,,
Awutu Senya,,95068,,
Awutu Senya East Municipal,,179918,,
Ayawaso Central Municipal,,75936,,
Ayawaso East Municipal,,36845,,
Ayawaso North Municipal,,47345,,
Ayawaso West Municipal,,65214,,
Ayensuano,,54729,,
Banda,,12201,,
Bawku Municipal,,50203,,
Bawku West,,45440,,
Bekwai Municipal,,93510,,
Berekum East Municipal,,77017,,
Berekum West,,31538,,
Bia East,,25121,,
Bia West,,54473,,
Biakoye,,38246,,
Bibiani Anhwiaso Bekwai Municipal,,102845,,
Binduri,,24384,,
Birim Central Municipal,,56279,,
Birim North,,52787,,
Birim South,,23553,,
Bodi,,33632,,
Bole,,38699,,
