school_name,type,Region,District,source_page,scraped_date,data_source,district_key,latitude,longitude,electrification_national,electrification_rural_national,electrification_urban_national,mpi_score,youth_literacy_count,wash_access,water_access_rate,sanitation_access_rate,dist_to_water,access_50k_minutes,night_light_intensity,dist_to_roads
Abakrampa Senior High/Tech,Senior High Technical School,Central,Abura/Asebu/Kwamankese,1.0,2026-04-07 10:21,GES Official Directory,abura asebu kwamankese,5.3418551,-1.1726256,0.8948895,0.778,0.9753000000000001,0.1,23943.0,0.8947071011489923,0.9614401420767968,0.8279740602211878,14275.0245046,70.6600493044,4.21163559448,1865.97412128
Abetifi Presby Senior High,Senior High School,Eastern,Kwahu East,1.0,2026-04-07 10:21,GES Official Directory,kwahu east,6.6722637,-0.7488924,0.8948895,0.778,0.9753000000000001,0.1,16774.0,0.752443432855804,0.759941089837997,0.7449457758736109,32661.8807107,132.8778183930074,1.712440318446963,3086.185355472963
Abomosu STEM Senior High,Senior High School,Eastern,Atiwa West,1.0,2026-04-07 10:21,GES Official Directory,atiwa west,6.3053286,-0.7169926,0.8948895,0.778,0.9753000000000001,0.1,9949.0,0.9677987914055506,0.9798008057296328,0.9557967770814684,32661.8807107,132.8778183930074,1.712440318446963,3086.185355472963
Abor Senior High,Senior High Technical School,Volta,Keta Municipal,1.0,2026-04-07 10:21,GES Official Directory,keta municipal,6.056514,0.8632944,0.8948895,0.778,0.9753000000000001,0.1,16411.0,0.8479094431980421,0.9421170711809096,0.7537018152151744,7309.203196324168,147.93714598925,0.5152197607643333,2198.005448380833
Abrafi Senior High,Senior High School,Bono East,Techiman North,1.0,2026-04-07 10:21,GES Official Directory,techiman north,7.6153251,-1.963707,0.8948895,0.778,0.9753000000000001,0.1,19241.0,0.915351031068491,0.9590691147234242,0.8716329474135579,42290.33319406428,278.16380118278573,0.43796246186061427,3890.629855290714
Abuakwa State College,Senior High School,Eastern,Abuakwa South,1.0,2026-04-07 10:21,GES Official Directory,abuakwa south,6.1745636,-0.5434439,0.8948895,0.778,0.9753000000000001,0.10989010989010989,16272.791208791208,0.8559920513012826,0.85564831516937,0.8563357874331952,32661.8807107,132.8778183930074,1.712440318446963,3086.185355472963
Aburaman Senior High,Senior High School,Central,Abura/Asebu/Kwamankese,1.0,2026-04-07 10:21,GES Official Directory,abura asebu kwamankese,5.3378319,-1.179876,0.8948895,0.778,0.9753000000000001,0.1,23943.0,0.8947071011489923,0.9614401420767968,0.8279740602211878,14275.0245046,70.6600493044,4.21163559448,1865.97412128
Abutia Senior High/Technical,Senior High Technical School,Volta,Ho West,1.0,2026-04-07 10:21,GES Official Directory,ho west,6.8414812,0.4943526,0.8948895,0.778,0.9753000000000001,0.1,15849.0,0.8461677585306057,0.8463084281178409,0.8460270889433704,7309.203196324168,147.93714598925,0.5152197607643333,2198.005448380833
Academy of Christ the King,Senior High School,Central,Cape Coast,1.0,2026-04-07 10:21,GES Official Directory,cape coast,5.1445001,-1.2676726,0.8948895,0.778,0.9753000000000001,0.09701492537313429,24018.014925373136,0.9171775590939981,0.9508606910981735,0.8834944270898226,9416.29364972,40.8521613623,17.4781634497,1258.85792488
Accra Academy,Senior High School,Greater Accra,Accra,1.0,2026-04-07 10:21,GES Official Directory,accra,5.5716478,-0.2433983,0.8948895,0.778,0.9753000000000001,0.08333333333333333,24338.5,0.8943312647296522,0.9671978164907556,0.8214647129685485,7490.02344614,10.7133090324,60.7796731175,1490.04539261
Accra Girls Senior High,Senior High School,Greater Accra,Ayawaso North,1.0,2026-04-07 10:21,GES Official Directory,ayawaso north,5.5899744,-0.1999015,0.8948895,0.778,0.9753000000000001,0.08333333333333333,24338.5,0.8943312647296522,0.9671978164907556,0.8214647129685485,11493.42510986833,25.398280208274997,45.673966755100004,1600.0997426966667
Accra Senior High,Senior High Technical School,Greater Accra,Accra,1.0,2026-04-07 10:21,GES Official Directory,accra,5.5957866,-0.1914303,0.8948895,0.778,0.9753000000000001,0.08333333333333333,24338.5,0.8943312647296522,0.9671978164907556,0.8214647129685485,7490.02344614,10.7133090324,60.7796731175,1490.04539261
Accra STEM Academy,Senior High School,Greater Accra,Ayawaso West,1.0,2026-04-07 10:21,GES Official Directory,ayawaso west,5.6288426,-0.1635245,0.8948895,0.778,0.9753000000000001,0.08333333333333333,24338.5,0.8943312647296522,0.9671978164907556,0.8214647129685485,11493.42510986833,25.398280208274997,45.673966755100004,1600.0997426966667
Accra Wesley Girls High,Senior High School,Greater Accra,Accra,1.0,2026-04-07 10:21,GES Official Directory,accra,5.567343,-0.2304313,0.8948895,0.778,0.9753000000000001,0.08333333333333333,24338.5,0.8943312647296522,0.9671978164907556,0.8214647129685485,7490.02344614,10.7133090324,60.7796731175,1490.04539261
Acherensua Senior High,Senior High School,Ahafo,Asutifi South,1.0,2026-04-07 10:21,GES Official Directory,asutifi south,6.9723204,-2.2987924,0.8948895,0.778,0.9753000000000001,0.1,11818.0,0.910348718499812,0.9188114555907796,0.9018859814088442,106591.83019763199,148.42731240008,0.37817968604568003,2527.1631141124
Achiase Senior High,Senior High School,Eastern,Achiase,1.0,2026-04-07 10:21,GES Official Directory,achiase,5.81037,-1.0086606,0.8948895,0.778,0.9753000000000001,0.1,9734.0,0.9160489362984392,0.9261134213222444,0.905984451274634,32661.8807107,132.8778183930074,1.712440318446963,3086.185355472963
Achimota Senior High,Senior High School,Greater Accra,Okaikwei North,1.0,2026-04-07 10:21,GES Official Directory,okaikwei north,5.6261502,-0.2142913,0.8948895,0.778,0.9753000000000001,0.08333333333333333,24338.5,0.8943312647296522,0.9671978164907556,0.8214647129685485,11493.42510986833,25.398280208274997,45.673966755100004,1600.0997426966667
Achinakrom Senior High,Senior High School,Ashanti,Ejisu,1.0,2026-04-07 10:21,GES Official Directory,ejisu,6.6604023,-1.4656882,0.8948895,0.778,0.9753000000000001,0.08846153846153847,25603.746153846154,0.9235176668482755,0.9440811138747686,0.9029542198217829,91906.77835521691,132.57486966470984,12.538350181039155,2717.7469318659155
Ada Senior High,Senior High School,Greater Accra,Ada East,1.0,2026-04-07 10:21,GES Official Directory,ada east,5.8011125,0.613984,0.8948895,0.778,0.9753000000000001,0.1,14506.0,0.7886868881709023,0.940396392920866,0.6369773834209385,11493.42510986833,25.398280208274997,45.673966755100004,1600.0997426966667
Adabokrom Comm. SHS,Senior High School,Western North,Bia East,1.0,2026-04-07 10:21,GES Official Directory,bia east,6.8161445,-3.0038395,0.8948895,0.778,0.9753000000000001,0.2,7811.0,0.8399360152474304,0.7096181335511538,0.970253896943707,126357.277431,213.326318342,0.9288590106539999,2518.27375742
Adaklu Senior High,Senior High Technical School,Volta,Adaklu District,2.0,2026-04-07 10:21,GES Official Directory,adaklu district,6.4513071,0.624962,0.8948895,0.778,0.9753000000000001,0.11234567901234566,17326.024691358023,0.8548501060464653,0.8715017142877199,0.8381984978052108,7309.203196324168,147.93714598925,0.5152197607643333,2198.005448380833
Adankwaman Senior High,Senior High School,Central,Assin South,2.0,2026-04-07 10:21,GES Official Directory,assin south,5.4532534,-1.1618106,0.8948895,0.778,0.9753000000000001,0.1,19995.0,0.8897689657501858,0.8939066405458354,0.8856312909545363,41774.5716763,131.646968258,0.0977957373479,1891.91302991
Adanwomase Senior High,Senior High School,Ashanti,Kwabre East,2.0,2026-04-07 10:21,GES Official Directory,kwabre east,6.7897864,-1.5379285,0.8948895,0.778,0.9753000000000001,0.0,59281.0,0.980581660032809,0.9960959853504076,0.9650673347152104,91906.77835521691,132.57486966470984,12.538350181039155,2717.7469318659155
Adeiso Presby Senior High,Senior High School,Eastern,Upper West Akim,2.0,2026-04-07 10:21,GES Official Directory,upper west akim,5.8067803,-0.5400572,0.8948895,0.778,0.9753000000000001,0.1,15728.0,0.8630224218252505,0.8398967724637195,0.8861480711867815,32661.8807107,132.8778183930074,1.712440318446963,3086.185355472963
Adidome Senior High,Senior High Technical School,Volta,Central Tongu,2.0,2026-04-07 10:21,GES Official Directory,central tongu,6.0941808,0.5056409,0.8948895,0.778,0.9753000000000001,0.2,14500.0,0.6935346459674365,0.7565316168118137,0.6305376751230595,7309.203196324168,147.93714598925,0.5152197607643333,2198.005448380833
