sn,region,district,school_name,location,gender,residency,email,category,is_stem,latitude,longitude,youth_literacy_count,mpi_score,elec_norm,water_norm,sanitation_norm,aid_norm,pov_norm,lit_norm,priority_score,priority_tier
516,SAVANNAH,NORTH GONJA,DABOYA COMM. DAY SCHOOL,DABOYA,MIXED,DAY,daboyacommshs@ges.gov.gh,C,No,9.4,-1.6,4955.0,0.3,0.2306216538566101,0.2260772092262104,0.0658457638704647,0.1201581073349849,0.7499999999999999,0.986884173811946,0.8334711846067507,CRITICAL
555,UPPER EAST,NABDAM,KONGO SENIOR HIGH SCHOOL,KONGO,MIXED,DAY/BOARDING,kongoshs@ges.gov.gh,C,No,10.65,-0.65,9190.0,0.4,0.0,0.9745529405514182,0.1188857171309437,0.1201581073349849,1.0,0.9099513152158116,0.8193781443020245,CRITICAL
511,SAVANNAH,CENTRAL GONJA,BUIPE SENIOR HIGH SCHOOL,BUIPE,MIXED,DAY/BOARDING,buipeshs@ges.gov.gh,C,No,8.9,-1.8,12321.0,0.3,0.2306216538566101,0.2260772092262104,0.0658457638704647,0.7756836227847863,0.7499999999999999,0.8530736811509955,0.7803527959780191,CRITICAL
512,SAVANNAH,CENTRAL GONJA,BUIPE TECH/VOC INST.,BUIPE,MIXED,DAY,buipetechvocinst@ges.gov.gh,C,No,9.003,-1.8215,12321.0,0.3,0.2306216538566101,0.2260772092262104,0.0658457638704647,0.7756836227847863,0.7499999999999999,0.8530736811509955,0.7803527959780191,CRITICAL
446,NORTH EAST,EAST MAMPRUSI,NALERIGU SENIOR HIGH SCHOOL,NALERIGU,MIXED,DAY/BOARDING,nalerigushs@ges.gov.gh,C,No,10.5309756,-0.3728539,22263.0,0.3,0.2423445802142008,0.1763234203094814,0.0,0.1093199603270334,0.7499999999999999,0.672467664583636,0.7649198882468357,CRITICAL
448,NORTH EAST,MAMPRUGU MOADURI,YAGABA SENIOR HIGH SCHOOL,YAGABA,MIXED,DAY/BOARDING,yagabashs@ges.gov.gh,C,No,10.5,-0.8,5861.0,0.2,0.2423445802142008,0.1763234203094814,0.0,0.1201581073349849,0.5,0.9704258102020056,0.7640842802411895,CRITICAL
540,UPPER EAST,BUILSA NORTH,KANJAGA COMM. SENIOR HIGH SCHOOL,KANJAGA,MIXED,DAY,kanjagacommshs@ges.gov.gh,C,No,10.4,-1.3,5946.0,0.3,0.0,0.9745529405514182,0.1188857171309437,0.1201581073349849,0.7499999999999999,0.968881703240808,0.7591107413082736,CRITICAL
541,UPPER EAST,BUILSA SOUTH,FUMBISI SENIOR HIGH SCHOOL,FUMBISI,MIXED,DAY/BOARDING,fumbisishs@ges.gov.gh,C,No,10.25,-1.2,5946.0,0.3,0.0,0.9745529405514182,0.1188857171309437,0.1201581073349849,0.7499999999999999,0.968881703240808,0.7591107413082736,CRITICAL
444,NORTH EAST,CHEREPONI,CHEREPONI SENIOR HIGH/TECH SCHOOL,CHEREPONI,MIXED,DAY/BOARDING,chereponishst@ges.gov.gh,C,No,10.3,0.4,9078.0,0.2,0.2423445802142008,0.1763234203094814,0.0,0.1201581073349849,0.5,0.9119859032117424,0.7494743034936237,CRITICAL
447,NORTH EAST,EAST MAMPRUSI,SAKOGU SENIOR HIGH/TECH SCHOOL,SAKOGU,MIXED,DAY,sakogushst@ges.gov.gh,C,No,10.0272463,-0.9731496,13444.8,0.22,0.2423445802142008,0.1763234203094814,0.0,0.1093199603270334,0.5499999999999999,0.8326587705275397,0.7449676647328115,CRITICAL
