school_name,region,district,latitude,longitude,anomaly_reason,expected_lat_range,expected_lon_range,sn,location,gender,residency,email,category,is_stem,youth_literacy_count,mpi_score,pov_norm,lit_norm,priority_score,priority_tier
KONGO SENIOR HIGH SCHOOL,UPPER EAST,NABDAM,6.6903393,-1.5480316,"LAT 6.690339 outside [10.2500, 11.3500] | LON -1.548032 outside [-1.2500, 0.9000]",10.4 - 11.2,-1.1 - 0.75,555,KONGO,MIXED,DAY/BOARDING,kongoshs@ges.gov.gh,C,No,9190.0,0.4,1.0,0.9099513152158116,0.9639805260863248,CRITICAL
DABOYA COMM. DAY SCHOOL,SAVANNAH,NORTH GONJA,7.2045812,-2.591577,"LAT 7.204581 outside [8.2500, 11.1500]",8.4 - 11.0,-2.9 - -0.55,516,DABOYA,MIXED,DAY,daboyacommshs@ges.gov.gh,C,No,4955.0,0.3,0.7499999999999999,0.986884173811946,0.8447536695247784,CRITICAL
KANJAGA COMM. SENIOR HIGH SCHOOL,UPPER EAST,BUILSA NORTH,7.993766,-0.326021,"LAT 7.993766 outside [10.2500, 11.3500]",10.4 - 11.2,-1.1 - 0.75,540,KANJAGA,MIXED,DAY,kanjagacommshs@ges.gov.gh,C,No,5946.0,0.3,0.7499999999999999,0.968881703240808,0.8375526812963232,CRITICAL
FUMBISI SENIOR HIGH SCHOOL,UPPER EAST,BUILSA SOUTH,9.3815355,-0.8511432,"LAT 9.381536 outside [10.2500, 11.3500]",10.4 - 11.2,-1.1 - 0.75,541,FUMBISI,MIXED,DAY/BOARDING,fumbisishs@ges.gov.gh,C,No,5946.0,0.3,0.7499999999999999,0.968881703240808,0.8375526812963232,CRITICAL
BINDURI COMM. SENIOR HIGH SCHOOL,UPPER EAST,BINDURI,6.8901817,-1.2489599,"LAT 6.890182 outside [10.2500, 11.3500]",10.4 - 11.2,-1.1 - 0.75,526,BINDURI,MIXED,DAY,binduricommshs@ges.gov.gh,C,No,11089.0,0.3,0.7499999999999999,0.8754541491062345,0.8001816596424938,CRITICAL
TOLON SENIOR HIGH SCHOOL,NORTHERN,TOLON,5.9668857,-0.9929572,"LAT 5.966886 outside [8.1500, 10.8500]",8.3 - 10.7,-2.9 - 0.6,481,TOLON,MIXED,DAY/BOARDING,tolonshs@ges.gov.gh,C,No,11883.0,0.3,0.7499999999999999,0.861030373492225,0.7944121493968899,HIGH
KANTON SENIOR HIGH SCHOOL,UPPER WEST,SISALA EAST,6.6903393,-1.5480316,"LAT 6.690339 outside [9.3500, 11.1500]",9.5 - 11.0,-2.9 - -1.5,579,TUMU,MIXED,DAY/BOARDING,kantonshs@ges.gov.gh,C,No,11883.0,0.3,0.7499999999999999,0.861030373492225,0.7944121493968899,HIGH
BUIPE SENIOR HIGH SCHOOL,SAVANNAH,CENTRAL GONJA,7.3366184,-2.304839,"LAT 7.336618 outside [8.2500, 11.1500]",8.4 - 11.0,-2.9 - -0.55,511,BUIPE,MIXED,DAY/BOARDING,buipeshs@ges.gov.gh,C,No,12321.0,0.3,0.7499999999999999,0.8530736811509955,0.7912294724603981,HIGH
BUIPE TECH/VOC INST.,SAVANNAH,CENTRAL GONJA,,,MISSING COORDINATES,,,512,BUIPE,MIXED,DAY,buipetechvocinst@ges.gov.gh,C,No,12321.0,0.3,0.7499999999999999,0.8530736811509955,0.7912294724603981,HIGH
LASSIE-TUOLU SENIOR HIGH SCHOOL,UPPER WEST,WA WEST,5.9926294,0.8187733,"LAT 5.992629 outside [9.3500, 11.1500] | LON 0.818773 outside [-3.0500, -1.3500]",9.5 - 11.0,-2.9 - -1.5,590,LASSIE,MIXED,DAY/BOARDING,lassietuolushs@ges.gov.gh,C,No,12740.0,0.3,0.7499999999999999,0.8454621421305043,0.7881848568522016,HIGH
