school,region,lat,lon,reason
BINDURI COMM. SENIOR HIGH SCHOOL,UPPER EAST,6.8901817,-1.2489599,"LAT 6.8902 outside (10.2, 11.4)"
LASSIE-TUOLU SENIOR HIGH SCHOOL,UPPER WEST,5.9926294,0.8187733,"LAT 5.9926 outside (9.3, 11.2)"
TONGOR SENIOR HIGH TECH SCHOOL,VOLTA,10.9014082,-0.9013563,"LAT 10.9014 outside (5.3, 8.95)"
AZEEM-NAMOA SENIOR HIGH/TECH SCHOOL,UPPER EAST,10.0272463,-0.9731496,"LAT 10.0272 outside (10.2, 11.4)"
GOWRIE SENIOR HIGH/TECH SCHOOL,UPPER EAST,6.6556435,-1.1071968,"LAT 6.6556 outside (10.2, 11.4)"
BANDAMAN SENIOR HIGH SCHOOL,BONO,5.8771706,0.3662603,"LAT 5.8772 outside (6.8, 8.7)"
DAFFIAMAH SENIOR HIGH SCHOOL,UPPER WEST,7.142572,-1.6406402,"LAT 7.1426 outside (9.3, 11.2)"
PIINA SENIOR HIGH SCHOOL,UPPER WEST,5.5950893,-0.277005,"LAT 5.5951 outside (9.3, 11.2)"
HOLY FAMILY SENIOR HIGH SCHOOL,UPPER WEST,9.3815355,-0.8511432,"LON -0.8511 outside (-3.1, -1.3)"
LAMBUSSIE COMM SENIOR HIGH SCHOOL,UPPER WEST,9.3815355,-0.8511432,"LON -0.8511 outside (-3.1, -1.3)"
AKROFUOM SENIOR HIGH/TECH SCHOOL,ASHANTI,10.9324723,-0.9735882,"LAT 10.9325 outside (5.55, 7.8)"
KO SENIOR HIGH SCHOOL,UPPER WEST,5.9668857,-0.9929572,"LAT 5.9669 outside (9.3, 11.2)"
NORTHERN STAR SENIOR HIGH SCHOOL,UPPER WEST,6.6903393,-1.5480316,"LAT 6.6903 outside (9.3, 11.2)"
BIAKOYE COMM. DAY SCHOOL,OTI,,,MISSING
FR. DOGLI MEMORIAL VOC.TECH. INST.,OTI,,,MISSING
OYOKO METHODIST SENIOR HIGH SCHOOL,EASTERN,4.9046484,-1.7908342,"LAT 4.9046 outside (5.3, 7.3)"
