school,region,method,old_lat,old_lon,new_lat,new_lon
DABOYA COMM. DAY SCHOOL,SAVANNAH,TOWN_LOOKUP:DABOYA,7.2045812,-2.591577,9.35,-1.35
KANJAGA COMM. SENIOR HIGH SCHOOL,UPPER EAST,TOWN_LOOKUP:KANJAGA,7.993766,-0.326021,10.85,-0.35
FUMBISI SENIOR HIGH SCHOOL,UPPER EAST,TOWN_LOOKUP:FUMBISI,9.3815355,-0.8511432,10.32,-0.72
TOLON SENIOR HIGH SCHOOL,NORTHERN,TOWN_LOOKUP:TOLON,5.9668857,-0.9929572,9.4333,-1.1
KANTON SENIOR HIGH SCHOOL,UPPER WEST,TOWN_LOOKUP:TUMU,10.8752,-1.9868,10.12,-1.95
BUIPE SENIOR HIGH SCHOOL,SAVANNAH,TOWN_LOOKUP:BUIPE,7.3366184,-2.304839,8.75,-1.55
BUIPE TECH/VOC INST.,SAVANNAH,TOWN_LOOKUP:BUIPE,,,8.75,-1.55
BOLGATANGA SENIOR HIGH SCHOOL,UPPER EAST,TOWN_LOOKUP:BOLGATANGA,10.6593164,-1.268658,10.7833,-0.85
BONGO SENIOR HIGH SCHOOL,UPPER EAST,TOWN_LOOKUP:BONGO,5.9668857,-0.9929572,10.9525,-0.5054
NALERIGU SENIOR HIGH SCHOOL,NORTH EAST,TOWN_LOOKUP:NALERIGU,10.5309756,-0.3728539,10.5167,-0.3667
SAVELUGU SENIOR HIGH SCHOOL,NORTHERN,TOWN_LOOKUP:SAVELUGU,5.9926294,0.8187733,9.6333,-0.8333
ENYAN-ABAASA TECHNICAL INSTITUTE,CENTRAL,TOWN_LOOKUP:ENYAN-ABAASA,9.4299903,-0.8669195,5.35,-0.65
YAGABA SENIOR HIGH SCHOOL,NORTH EAST,TOWN_LOOKUP:YAGABA,10.6593164,-1.268658,10.2833,-0.5167
AMANKWAKROM FISHERIES AGRIC. TECH. INST.,EASTERN,TOWN_LOOKUP:AMANKWAKROM,,,7.05,-0.2333
DONKORKROM AGRIC SENIOR HIGH SCHOOL,EASTERN,TOWN_LOOKUP:DONKORKROM,10.9014082,-0.9013563,7.0833,-0.2833
MEM-CHEMFRE COMM. SENIOR HIGH SCHOOL,EASTERN,TOWN_LOOKUP:MEM-CHEMFRE,7.2316721,-2.1751937,6.1,-0.35
CHEREPONI SENIOR HIGH/TECH SCHOOL,NORTH EAST,TOWN_LOOKUP:CHEREPONI,5.5950893,-0.277005,10.4167,-0.1
KAJAJI SENIOR HIGH SCHOOL,BONO EAST,TOWN_LOOKUP:KAJAJI,5.8771706,0.3662603,7.8,-0.35
