sn,region,district,school_name,location,gender,residency,email,category,is_stem,latitude,longitude,youth_literacy_count,mpi_score,pov_norm,lit_norm,priority_score,priority_tier
401,GREATER ACCRA,ADA EAST DISTRICT,ADA SENIOR HIGH SCHOOL,ADA-FOAH,MIXED,DAY/BOARDING,adashs@ges.gov.gh,C,No,5.8771706,0.3662603,14506.0,0.1,0.25,0.8133810492660951,0.47535241970643805,STABLE
432,GREATER ACCRA,SHAI-OSUDOKU DISTRICT,OSUDOKU SENIOR HIGH/TECH SCHOOL,ASUTSUARE,MIXED,DAY/BOARDING,osudokushst@ges.gov.gh,C,No,6.6556435,-1.1071968,18284.0,0.1,0.25,0.7447500363319285,0.4479000145327714,STABLE
433,GREATER ACCRA,SHAI-OSUDOKU DISTRICT,GHANATA SENIOR HIGH SCHOOL,DODOWA,MIXED,DAY/BOARDING,ghanatashs@ges.gov.gh,C,No,5.8771706,0.3662603,18284.0,0.1,0.25,0.7447500363319285,0.4479000145327714,STABLE
441,GREATER ACCRA,TEMA WEST MUNICIPAL,LASHIBI COMMUNITY SENIOR HIGH SCHOOL,LASHIBI- SAKUMONO,FEMALE,DAY,lashibicommunityshs@ges.gov.gh,C,No,7.993766,-0.326021,24338.5,0.0833333333333333,0.20833333333333323,0.634764205784043,0.37890568231361715,STABLE
440,GREATER ACCRA,TEMA WEST MUNICIPAL,TEMA SENIOR HIGH SCHOOL,"TCEOMMAM CUONMITMY 514,",MIXED,DAY/BOARDING,temashs@ges.gov.gh,C,No,9.4226781,-0.8620235,24338.5,0.0833333333333333,0.20833333333333323,0.634764205784043,0.37890568231361715,STABLE
439,GREATER ACCRA,TEMA METRO,OUR LADY OF MERCY SENIOR HIGH SCHOOL,TEMA COMM 4,MIXED,DAY,ourladyofmercyshs@ges.gov.gh,C,No,7.3878262,-1.3492738,24338.5,0.0833333333333333,0.20833333333333323,0.634764205784043,0.37890568231361715,STABLE
405,GREATER ACCRA,ASHIAMAN MUNICIPAL,ASHIAMAN TECH/VOC. INST.,ASHIAMAN,MIXED,DAY,ashiamantechvocinst@ges.gov.gh,C,No,,,24338.5,0.0833333333333333,0.20833333333333323,0.634764205784043,0.37890568231361715,STABLE
410,GREATER ACCRA,GA NORTH MUNICIPAL,ST. JOHN'S GRAMMAR SENIOR HIGH SCHOOL,ACHIMOTA,MIXED,DAY/BOARDING,stjohnsgrammarshs@ges.gov.gh,C,No,9.4226781,-0.8620235,24338.5,0.0833333333333333,0.20833333333333323,0.634764205784043,0.37890568231361715,STABLE
424,GREATER ACCRA,LA DADE-KOTOPON MUNICIPAL,LA PRESBY SENIOR HIGH SCHOOL,LA EMMAUS,MIXED,DAY,presbylashs@ges.gov.gh,C,No,9.3953646,-0.8216087,24338.5,0.0833333333333333,0.20833333333333323,0.634764205784043,0.37890568231361715,STABLE
408,GREATER ACCRA,GA CENTRAL MUNICIPAL,ODORGONNO SENIOR HIGH SCHOOL,AWOSHIE,MIXED,DAY/BOARDING,odorgonnoshs@ges.gov.gh,C,No,5.9668857,-0.9929572,24338.5,0.0833333333333333,0.20833333333333323,0.634764205784043,0.37890568231361715,STABLE
409,GREATER ACCRA,GA EAST MUNICIPAL,KWABENYA COMM. SENIOR HIGH SCHOOL,KWABENYA,MIXED,DAY,kwabenyacommshs@ges.gov.gh,C,No,7.4635891,-1.9709609,24338.5,0.0833333333333333,0.20833333333333323,0.634764205784043,0.37890568231361715,STABLE
423,GREATER ACCRA,LA DADE-KOTOPON MUNICIPAL,LABONE SENIOR HIGH SCHOOL,LABONE,MIXED,DAY/BOARDING,laboneshs@ges.gov.gh,C,No,5.5950893,-0.277005,24338.5,0.0833333333333333,0.20833333333333323,0.634764205784043,0.37890568231361715,STABLE
434,GREATER ACCRA,TEMA METRO,TEMA METH. DAY SENIOR HIGH SCHOOL,TEMA COMM II,MIXED,DAY,temamethdayshs@ges.gov.gh,C,No,5.8771706,0.3662603,24338.5,0.0833333333333333,0.20833333333333323,0.634764205784043,0.37890568231361715,STABLE
435,GREATER ACCRA,TEMA METRO,TEMA TECH. INST.,TEMA,MIXED,DAY,tematechinst@ges.gov.gh,C,No,5.6665286,-0.0047504,24338.5,0.0833333333333333,0.20833333333333323,0.634764205784043,0.37890568231361715,STABLE
412,GREATER ACCRA,GA SOUTH MUNICIPAL,NGLESHIE AMANFRO SENIOR HIGH SCHOOL,NGLESHIE AMANFRO,MIXED,DAY,ngleshieamanfroshs@ges.gov.gh,C,No,9.4273607,-0.8767444,24338.5,0.0833333333333333,0.20833333333333323,0.634764205784043,0.37890568231361715,STABLE
411,GREATER ACCRA,GA SOUTH MUNICIPAL,CHRISTIAN METHODIST SENIOR HIGH SCHOOL,APLAKU (WEIJA),MIXED,DAY,christianmethodistshs@ges.gov.gh,C,No,4.9046484,-1.7908342,24338.5,0.0833333333333333,0.20833333333333323,0.634764205784043,0.37890568231361715,STABLE
426,GREATER ACCRA,LA NKWANTANANG MADINA MUNICIPAL,"PRESBY BOYS SENIOR HIGH SCHOOL, LEGON",LEGON,MALE,DAY/BOARDING,presbyboyslegonshs@ges.gov.gh,C,No,6.3325025,-0.4784514,24338.5,0.0833333333333333,0.20833333333333323,0.634764205784043,0.37890568231361715,STABLE
437,GREATER ACCRA,TEMA METRO,TEMA MANHEAN SENIOR HIGH/TECH SCHOOL,TEMA NEW TOWN,MIXED,DAY,temamanheanshst@ges.gov.gh,C,No,10.0272463,-0.9731496,24338.5,0.0833333333333333,0.20833333333333323,0.634764205784043,0.37890568231361715,STABLE
436,GREATER ACCRA,TEMA METRO,"PRESBY SENIOR HIGH SCHOOL, TEMA",TEMA,MIXED,DAY,presbyshstema@ges.gov.gh,C,No,10.7883629,-0.8172359,24338.5,0.0833333333333333,0.20833333333333323,0.634764205784043,0.37890568231361715,STABLE
438,GREATER ACCRA,TEMA METRO,CHEMU SENIOR HIGH/TECH SCHOOL,TEMA COMM 4,MIXED,DAY,chemushst@ges.gov.gh,C,No,6.6556435,-1.1071968,24338.5,0.0833333333333333,0.20833333333333323,0.634764205784043,0.37890568231361715,STABLE
413,GREATER ACCRA,GA WEST MUNICIPAL,ADJEN KOTOKU SENIOR HIGH SCHOOL,ADJEN KOTOKU,MIXED,DAY,adjenkotokushs@ges.gov.gh,C,No,5.9926294,0.8187733,24338.5,0.0833333333333333,0.20833333333333323,0.634764205784043,0.37890568231361715,STABLE
